epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0007,2.15493,3.22965,1.79935,0.05127,0.12432,0.04015,0.01238,2.69563,inf,2.54937,0.0911125,0.0001125,0.0001125
2,36.292,1.69547,1.47402,1.44038,0.15761,0.21329,0.1672,0.08783,1.93081,inf,1.7593,0.0812351,0.000235149,0.000235149
3,44.1885,1.55056,1.28512,1.31287,0.31713,0.35001,0.38168,0.17825,1.66174,inf,1.50716,0.0713553,0.000355322,0.000355322
4,52.0794,1.48726,1.23231,1.30693,0.37852,0.48298,0.44338,0.20901,1.50162,inf,1.36286,0.061473,0.000473021,0.000473021
5,59.9104,1.47714,1.14021,1.28903,0.30462,0.4807,0.39971,0.20733,1.59983,inf,1.48497,0.0515882,0.000588245,0.000588245
6,67.1942,1.4223,1.08456,1.27116,0.43697,0.4592,0.45424,0.2269,1.54314,inf,1.42505,0.041701,0.000700994,0.000700994
7,74.9315,1.41753,1.04169,1.24581,0.46294,0.49086,0.47099,0.22233,1.5524,2.29948,1.39388,0.0318113,0.000811267,0.000811267
8,82.1438,1.42498,0.97801,1.23981,0.38409,0.43412,0.43154,0.20729,1.55531,3.12187,1.40537,0.0219191,0.000919066,0.000919066
9,89.6785,1.4192,0.96722,1.25835,0.43234,0.45486,0.43483,0.2272,1.48843,2.78554,1.39149,0.0120244,0.00102439,0.00102439
10,97.0624,1.45302,0.98645,1.26243,0.46656,0.49057,0.48197,0.24904,1.46396,2.36541,1.33833,0.00212724,0.00112724,0.00112724
11,104.637,1.36679,0.92946,1.20911,0.43977,0.50179,0.48217,0.25598,1.44789,1.96246,1.32317,0.00112625,0.00112625,0.00112625
12,112.357,1.31265,0.87771,1.18437,0.42051,0.52202,0.47173,0.26119,1.36489,2.23,1.28943,0.00111388,0.00111388,0.00111388
13,120.044,1.37188,0.86655,1.20259,0.39075,0.47429,0.41983,0.22219,1.4998,2.18611,1.36811,0.0011015,0.0011015,0.0011015
14,127.53,1.34614,0.85652,1.20895,0.52699,0.63681,0.55929,0.28507,1.38085,1.19965,1.27238,0.00108913,0.00108913,0.00108913
15,138.943,1.32228,0.81372,1.2034,0.59598,0.68385,0.6215,0.31936,1.3006,1.05122,1.21584,0.00107675,0.00107675,0.00107675
16,146.581,1.33582,0.79872,1.22102,0.59182,0.69502,0.62406,0.31275,1.33634,0.92482,1.21892,0.00106437,0.00106437,0.00106437
17,153.693,1.37556,0.84467,1.21458,0.59358,0.69127,0.65298,0.32557,1.42541,1,1.26121,0.001052,0.001052,0.001052
