epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4445,1.71386,2.40721,1.24673,0.51757,0.92583,0.82023,0.39634,1.47497,inf,1.26309,0.0002625,0.0002625,0.0002625
2,53.1499,1.48647,0.91213,1.17873,0.38674,0.8775,0.38446,0.21504,1.43647,inf,1.29194,0.000532179,0.000532179,0.000532179
3,68.2575,1.44853,0.94327,1.16444,0.73863,0.8225,0.82429,0.39713,1.62306,2.44253,1.37529,0.000796412,0.000796412,0.000796412
4,83.3967,1.42011,0.89491,1.15663,0.70073,0.8625,0.6784,0.35817,1.4719,inf,1.32693,0.0010552,0.0010552,0.0010552
5,98.2065,1.41252,0.77486,1.12809,0.85532,0.87083,0.918,0.50078,1.37602,1.33962,1.25271,0.0012005,0.0012005,0.0012005
6,113.205,1.50528,0.79533,1.15729,0.8877,0.92583,0.92733,0.53857,1.27451,1.13984,1.17117,0.00118812,0.00118812,0.00118812
7,128.136,1.40974,0.74994,1.1539,0.88596,0.91167,0.93051,0.534,1.33574,1.1856,1.18518,0.00117575,0.00117575,0.00117575
8,143.099,1.39063,0.73097,1.13001,0.83412,0.7825,0.83313,0.43499,1.58243,0.98288,1.34193,0.00116337,0.00116337,0.00116337
9,158.169,1.38191,0.73057,1.15071,0.90072,0.92989,0.94047,0.54467,1.27634,0.86637,1.16828,0.001151,0.001151,0.001151
10,173.511,1.33775,0.72288,1.09281,0.87816,0.92,0.91961,0.5379,1.29651,0.8115,1.15343,0.00113863,0.00113863,0.00113863
11,188.376,1.35946,0.70674,1.12876,0.88083,0.94333,0.92928,0.54102,1.23514,1.02215,1.13109,0.00112625,0.00112625,0.00112625
12,203.148,1.3211,0.69277,1.12453,0.89959,0.91832,0.92944,0.49086,1.41117,0.69291,1.20362,0.00111388,0.00111388,0.00111388
13,217.944,1.31805,0.67868,1.11561,0.89126,0.93569,0.93557,0.53674,1.27654,0.80738,1.14211,0.0011015,0.0011015,0.0011015
14,233.307,1.27476,0.67175,1.07411,0.92131,0.94,0.95314,0.5548,1.2947,0.67748,1.13506,0.00108913,0.00108913,0.00108913
15,252.848,1.27194,0.65669,1.08513,0.92419,0.94333,0.95522,0.58249,1.22299,0.62181,1.12122,0.00107675,0.00107675,0.00107675
16,269.102,1.24327,0.63412,1.0774,0.90977,0.93833,0.94623,0.56719,1.22476,0.59847,1.11432,0.00106437,0.00106437,0.00106437
17,284.042,1.24889,0.64173,1.06396,0.91814,0.93417,0.95588,0.57919,1.19286,0.60133,1.10085,0.001052,0.001052,0.001052
18,299.129,1.24077,0.62999,1.08434,0.91829,0.9275,0.94703,0.55652,1.25907,0.6334,1.1144,0.00103962,0.00103962,0.00103962
19,313.99,1.28426,0.65021,1.07144,0.93261,0.9125,0.95297,0.58839,1.17965,0.58,1.0918,0.00102725,0.00102725,0.00102725
20,332.956,1.23783,0.6453,1.05528,0.92146,0.9288,0.95233,0.56922,1.19876,0.6148,1.10398,0.00101488,0.00101488,0.00101488
21,347.739,1.22197,0.63638,1.06521,0.92812,0.94417,0.96169,0.57265,1.30007,0.57459,1.15319,0.0010025,0.0010025,0.0010025
22,362.75,1.23371,0.60547,1.06468,0.91837,0.94917,0.95908,0.59122,1.21888,0.56063,1.11051,0.000990125,0.000990125,0.000990125
