epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9682,1.78268,2.31918,1.34101,0.51433,0.70417,0.62088,0.21648,1.95756,5.17141,1.52652,0.0792625,0.0002625,0.0002625
2,58.4389,1.58787,0.99357,1.27676,0.79547,0.82833,0.81265,0.35122,1.77174,3.80963,1.48643,0.0575322,0.000532179,0.000532179
3,79.7547,1.58132,1.02816,1.2784,0.76993,0.78167,0.80712,0.3884,1.58811,1.90631,1.335,0.0357964,0.000796412,0.000796412
4,105.79,1.56602,0.93222,1.259,0.77231,0.87417,0.80345,0.39297,1.50444,1.46474,1.27562,0.0140552,0.0010552,0.0010552
5,129.221,1.47572,0.84895,1.19907,0.73536,0.80917,0.77144,0.2676,2.10142,2.13091,1.57758,0.0012005,0.0012005,0.0012005
6,145.5,1.52137,0.86279,1.20554,0.8232,0.85667,0.84742,0.43584,1.58157,0.92543,1.32703,0.00118812,0.00118812,0.00118812
7,163.018,1.47594,0.84074,1.23678,0.85534,0.88667,0.88457,0.37655,1.80777,1.09622,1.38566,0.00117575,0.00117575,0.00117575
8,183.386,1.49215,0.83788,1.22122,0.81524,0.87513,0.86786,0.43477,1.50176,0.99306,1.261,0.00116337,0.00116337,0.00116337
9,198.805,1.5068,0.84059,1.24966,0.85617,0.88792,0.89647,0.41379,1.63522,1.31647,1.29153,0.001151,0.001151,0.001151
10,214.296,1.44528,0.7855,1.18115,0.82816,0.87917,0.85475,0.46409,1.38052,1.03147,1.23238,0.00113863,0.00113863,0.00113863
11,235.476,1.40764,0.80603,1.19084,0.8879,0.92406,0.92713,0.40151,1.82916,1.1086,1.37658,0.00112625,0.00112625,0.00112625
12,251.427,1.43277,0.76547,1.21486,0.88677,0.8625,0.88687,0.41379,1.63974,0.97895,1.30907,0.00111388,0.00111388,0.00111388
13,266.983,1.39257,0.77516,1.18708,0.81919,0.7575,0.80732,0.40341,1.62838,1.16527,1.37289,0.0011015,0.0011015,0.0011015
14,282.71,1.41621,0.75804,1.16836,0.82553,0.8872,0.86663,0.45832,1.41217,1.09716,1.22401,0.00108913,0.00108913,0.00108913
15,297.791,1.43808,0.76055,1.19617,0.89727,0.888,0.92154,0.47633,1.45967,0.86255,1.20521,0.00107675,0.00107675,0.00107675
16,317.727,1.38899,0.75752,1.18025,0.90902,0.91667,0.92691,0.44218,1.69082,0.81821,1.28793,0.00106437,0.00106437,0.00106437
17,332.985,1.37513,0.73261,1.15555,0.88299,0.90917,0.90804,0.40325,1.67419,0.94948,1.30068,0.001052,0.001052,0.001052
18,348.161,1.39821,0.72938,1.19304,0.91725,0.93083,0.92953,0.44922,1.61334,0.78104,1.25911,0.00103962,0.00103962,0.00103962
19,363.201,1.40119,0.72788,1.1545,0.88273,0.88167,0.90058,0.46173,1.5027,0.86215,1.21339,0.00102725,0.00102725,0.00102725
20,378.141,1.39344,0.72896,1.14894,0.89302,0.90833,0.94218,0.52625,1.32533,0.72044,1.17706,0.00101488,0.00101488,0.00101488
21,393.715,1.3858,0.7147,1.16461,0.90644,0.93083,0.92982,0.46491,1.46576,0.68733,1.1977,0.0010025,0.0010025,0.0010025
