address ,lat,long
"1000 Gerrard St E, Toronto, ON M4M 0A5","43.66873352171418,",-79.34015786
"900 Dufferin St, Toronto, ON M6H 4A9",43.656392,-79.434632
"2525 St Clair Ave W, Toronto, ON M6N 4Z5",43.667847,-79.486081
"165 N Queen St, Toronto, ON M9C 1A7","43.61813884580267,",-79.5555756
"2245 Islington Ave, Toronto, ON M9W 3W6","43.71506697576818,",-79.55383854
"1500 Dundas St E, Mississauga, ON L4X 1L4","43.60976353591615,",-79.57835677
"1305 Lawrence Ave W, Toronto, ON M6L 1A5","43.708221684457015,",-79.47487462
"1900 Eglinton Ave E, Scarborough, ON M1L 2L9","43.72732200962143,",-79.29501976
"2202 Jane St, North York, ON M3M 1A4","43.722054952568584,",-79.51004539
"3757 Keele St, Toronto, ON M3J 1N4","43.758034992722806,",-79.48769811
